Icon,Dec,Hex,Name,Block
,0,0,minecraft:air,Air
,1,1,minecraft:stone,Stone S B
,2,2,minecraft:grass,Grass Block
,3,3,minecraft:dirt,Dirt S B
,4,4,minecraft:cobblestone,Cobblestone
,5,5,minecraft:planks,Wood Planks S B
,6,6,minecraft:sapling,Sapling S B
,7,7,minecraft:bedrock,Bedrock
,8,8,minecraft:flowing_water,Water S
,9,9,minecraft:water,Stationary Water S
,10,A,minecraft:flowing_lava,Lava S
,11,B,minecraft:lava,Stationary Lava S
,12,C,minecraft:sand,Sand S B
,13,D,minecraft:gravel,Gravel
,14,E,minecraft:gold_ore,Gold Ore
,15,F,minecraft:iron_ore,Iron Ore
,16,10,minecraft:coal_ore,Coal Ore
,17,11,minecraft:log,Wood S B
,18,12,minecraft:leaves,Leaves S B
,19,13,minecraft:sponge,Sponge S B
,20,14,minecraft:glass,Glass
,21,15,minecraft:lapis_ore,Lapis Lazuli Ore
,22,16,minecraft:lapis_block,Lapis Lazuli Block
,23,17,minecraft:dispenser,Dispenser S E
,24,18,minecraft:sandstone,Sandstone S B
,25,19,minecraft:noteblock,Note Block E
,26,1A,minecraft:bed,Bed I S
,27,1B,minecraft:golden_rail,Powered Rail S
,28,1C,minecraft:detector_rail,Detector Rail S
,29,1D,minecraft:sticky_piston,Sticky Piston S
,30,1E,minecraft:web,Cobweb
,31,1F,minecraft:tallgrass,Grass S B
,32,20,minecraft:deadbush,Dead Bush
,33,21,minecraft:piston,Piston S
,34,22,minecraft:piston_head,Piston Head S
,35,23,minecraft:wool,Wool S B
,36,24,minecraft:piston_extension,Block moved by Piston E
,37,25,minecraft:yellow_flower,Dandelion
,38,26,minecraft:red_flower,Poppy S B
,39,27,minecraft:brown_mushroom,Brown Mushroom
,40,28,minecraft:red_mushroom,Red Mushroom
,41,29,minecraft:gold_block,Block of Gold
,42,2A,minecraft:iron_block,Block of Iron
,43,2B,minecraft:double_stone_slab,Double Stone Slab S B
,44,2C,minecraft:stone_slab,Stone Slab S B
,45,2D,minecraft:brick_block,Bricks
,46,2E,minecraft:tnt,TNT
,47,2F,minecraft:bookshelf,Bookshelf
,48,30,minecraft:mossy_cobblestone,Moss Stone
,49,31,minecraft:obsidian,Obsidian
,50,32,minecraft:torch,Torch S
,51,33,minecraft:fire,Fire S
,52,34,minecraft:mob_spawner,Monster Spawner E
,53,35,minecraft:oak_stairs,Oak Wood Stairs S
,54,36,minecraft:chest,Chest S E
,55,37,minecraft:redstone_wire,Redstone Wire I S
,56,38,minecraft:diamond_ore,Diamond Ore
,57,39,minecraft:diamond_block,Block of Diamond
,58,3A,minecraft:crafting_table,Crafting Table
,59,3B,minecraft:wheat,Wheat I S
,60,3C,minecraft:farmland,Farmland S
,61,3D,minecraft:furnace,Furnace S E
,62,3E,minecraft:lit_furnace,Burning Furnace S E
,63,3F,minecraft:standing_sign,Standing Sign I S E
,64,40,minecraft:wooden_door,Oak Door I S
,65,41,minecraft:ladder,Ladder S
,66,42,minecraft:rail,Rail S
,67,43,minecraft:stone_stairs,Cobblestone Stairs S
,68,44,minecraft:wall_sign,Wall Sign I S E
,69,45,minecraft:lever,Lever S
