Icon,Dec,Hex,Name,Block
,0,0,minecraft:air,Air
,1,1,minecraft:stone,Stone S B
,2,2,minecraft:grass,Grass Block
,3,3,minecraft:dirt,Dirt S B
,4,4,minecraft:cobblestone,Cobblestone
,5,5,minecraft:planks,Wood Planks S B
,6,6,minecraft:sapling,Sapling S B
,7,7,minecraft:bedrock,Bedrock
,12,C,minecraft:sand,Sand S B
,13,D,minecraft:gravel,Gravel
,14,E,minecraft:gold_ore,Gold Ore
,15,F,minecraft:iron_ore,Iron Ore
,16,10,minecraft:coal_ore,Coal Ore
,17,11,minecraft:log,Wood S B
,18,12,minecraft:leaves,Leaves S B
,19,13,minecraft:sponge,Sponge S B
,20,14,minecraft:glass,Glass
,21,15,minecraft:lapis_ore,Lapis Lazuli Ore
,22,16,minecraft:lapis_block,Lapis Lazuli Block
,23,17,minecraft:dispenser,Dispenser S E
,24,18,minecraft:sandstone,Sandstone S B
,25,19,minecraft:noteblock,Note Block E
,27,1B,minecraft:golden_rail,Powered Rail S
,28,1C,minecraft:detector_rail,Detector Rail S
,29,1D,minecraft:sticky_piston,Sticky Piston S
,30,1E,minecraft:web,Cobweb
,31,1F,minecraft:tallgrass,Grass S B
,32,20,minecraft:deadbush,Dead Bush
,33,21,minecraft:piston,Piston S
,35,23,minecraft:wool,Wool S B
,37,25,minecraft:yellow_flower,Dandelion
,38,26,minecraft:red_flower,Poppy S B
,39,27,minecraft:brown_mushroom,Brown Mushroom
,40,28,minecraft:red_mushroom,Red Mushroom
,41,29,minecraft:gold_block,Block of Gold
,42,2A,minecraft:iron_block,Block of Iron
,44,2C,minecraft:stone_slab,Stone Slab S B
,45,2D,minecraft:brick_block,Bricks
,46,2E,minecraft:tnt,TNT
,47,2F,minecraft:bookshelf,Bookshelf
,48,30,minecraft:mossy_cobblestone,Moss Stone
,49,31,minecraft:obsidian,Obsidian
,50,32,minecraft:torch,Torch S
,52,34,minecraft:mob_spawner,Monster Spawner E
,53,35,minecraft:oak_stairs,Oak Wood Stairs S
,54,36,minecraft:chest,Chest S E
,56,38,minecraft:diamond_ore,Diamond Ore
,57,39,minecraft:diamond_block,Block of Diamond
,58,3A,minecraft:crafting_table,Crafting Table
,59,3B,minecraft:wheat,Wheat I S
,60,3C,minecraft:farmland,Farmland S
,61,3D,minecraft:furnace,Furnace S E
,65,41,minecraft:ladder,Ladder S
,66,42,minecraft:rail,Rail S
,67,43,minecraft:stone_stairs,Cobblestone Stairs S
,69,45,minecraft:lever,Lever S
,70,46,minecraft:stone_pressure_plate,Stone Pressure Plate S
,72,48,minecraft:wooden_pressure_plate,Wooden Pressure Plate S
,73,49,minecraft:redstone_ore,Redstone Ore
,76,4C,minecraft:redstone_torch,Redstone Torch (active) S
,77,4D,minecraft:stone_button,Stone Button S
,78,4E,minecraft:snow_layer,Snow (layer) S B
,79,4F,minecraft:ice,Ice
,80,50,minecraft:snow,Snow
,81,51,minecraft:cactus,Cactus S
,82,52,minecraft:clay,Clay
,84,54,minecraft:jukebox,Jukebox S E
,85,55,minecraft:fence,Oak Fence
,86,56,minecraft:pumpkin,Pumpkin S
,87,57,minecraft:netherrack,Netherrack
